NVDA,PLTR,MSFT,STX,GOOGL
163.86493983158547,130.10628218523303,425.20934513509326,588.1308477428344,267.3304864273237
228.92964028171735,167.93823007308038,401.04640115213,476.07527083145163,363.5465331775297
212.1612047215391,114.09767349511637,383.5647461064442,462.02407755435513,350.3708289713919
190.07475162038685,127.81307937935475,404.6117091576623,574.4058373512102,325.2312109193274
225.9846890899133,138.09370501179342,416.86094220601024,429.92603978100726,358.581972820789
220.48833061909386,150.87451681105807,420.5836592827551,488.5022460349663,266.75987856714113
237.394865436983,147.4527831343824,443.13419075103326,805.4219311482183,342.49894119802224
231.92623474690464,187.2578085973014,541.9095473490804,868.187028052103,410.98891641808876
240.28163374351448,124.63772937654882,398.1338494927879,441.3540414803109,337.14960528014944
182.30657521062187,159.22045084227193,424.237481195866,466.62553129371753,268.1911234208206
215.8317073997982,163.36764279346238,434.631271230611,646.2215467113557,380.2187661174579
239.06996267612263,211.93526728697535,536.1388667258385,873.6525723815364,369.9578866311098
191.96112033505344,102.1523779790373,396.66152740350725,377.8942688696217,374.40235846536706
249.8751277986327,154.99881497484893,461.4393212464747,520.2279110805117,384.94474117461334
247.7619360842234,168.61980392948036,495.3782972309269,693.5166984416896,379.5323477119305
205.33862929887405,175.78965243152084,483.99613742747044,522.2779229136862,361.5231678363382
206.764375040933,160.15962812032754,395.69608214927337,695.6287326354794,370.14994723866334
208.0646524386185,110.92060680672809,433.1403973656883,594.3232211160895,373.5771432630682
267.24438898973773,138.25683098930887,431.8026461609981,430.64931588222834,350.4743056154913
225.39832727739454,171.6158223785991,459.9807587298628,735.9543415218785,390.50116249154854
200.46623322123145,127.42718564659029,506.8569716814885,551.3280092784395,340.4850534118873
225.55225752173217,147.17445881268318,382.7621191706101,390.80595776733435,280.4415345284079
173.61361452940355,149.02564222323284,329.441972242604,332.1472245412768,266.9074508063368
196.9532058366756,191.18243685124492,390.1099722839874,423.97949393405185,348.01004087413094
214.1551119438185,194.061866006641,477.8333139827619,754.4975094106799,407.29343505439715
219.31917502375694,171.26014699551416,460.99711371603865,518.0018791695666,363.62045858702544
